"userid","total_deposited","total_stakes","play_ratio_pct"
14876,819.90,5.81,0.71
12814,819.60,358.00,43.68
17067,816.00,283.79,34.78
21311,816.00,142.89,17.51
66934,815.00,181.26,22.24
20694,806.52,0,0.00
63773,805.94,5.64,0.70
30953,804.80,5.13,0.64
18538,800.00,0,0.00
34120,800.00,7.71,0.96
6918,795.44,22.37,2.81
22725,795.23,136.15,17.12
9388,795.00,2.37,0.30
12080,794.00,2.14,0.27
64811,792.11,49.78,6.28
29575,790.00,37.94,4.80
16977,783.80,191.40,24.42
20999,781.00,69.58,8.91
54268,779.28,0,0.00
22789,770.10,103.02,13.38
23398,763.96,83.53,10.93
51881,762.00,20.19,2.65
15774,760.00,22.47,2.96
65359,760.00,0,0.00
24642,755.00,0,0.00
10064,754.12,185.05,24.54
20468,752.94,25.96,3.45
71030,750.00,301.71,40.23
21058,749.70,0,0.00
4070,749.42,75.49,10.07
20261,745.00,108.10,14.51
31496,740.56,72.36,9.77
429,735.00,0,0.00
10303,732.28,13.02,1.78
43205,731.08,29.71,4.06
44349,730.39,1.32,0.18
48047,729.10,90.56,12.42
10065,726.88,0.77,0.11
29860,724.10,100.95,13.94
1912,720.00,107.37,14.91
65321,718.13,19.66,2.74
52524,715.00,98.31,13.75
13937,712.60,0,0.00
58115,710.22,20.82,2.93
41962,708.00,0,0.00
28042,705.38,88.48,12.54
42144,703.20,0.02,0.00
44433,703.08,30.19,4.29
15951,701.30,0,0.00
8983,695.00,2.21,0.32
57432,693.60,24.17,3.48
16201,690.00,0,0.00
67387,688.50,0,0.00
41274,686.88,0,0.00
20083,685.00,303.33,44.28
30558,685.00,5.59,0.82
1793,680.00,50.42,7.41
51389,671.60,40.04,5.96
42816,665.00,1.34,0.20
47383,661.00,78.11,11.82
1327,660.00,195.69,29.65
63208,659.21,8.18,1.24
31403,656.88,134.42,20.46
20559,655.00,12.62,1.93
40848,655.00,3.36,0.51
12973,651.00,247.64,38.04
8403,650.76,45.49,6.99
46931,650.00,0.00,0.00
7955,650.00,72.50,11.15
70285,650.00,82.85,12.75
42440,646.00,94.47,14.62
